fold,ensemble_id,seed,epoch,train_loss,train_eval_loss,train_auroc,train_auprc,train_accuracy,train_sensitivity,train_specificity,train_f1,train_tp,train_tn,train_fp,train_fn
0,0,42,1,0.8566140830516815,0.7357712090015411,0.2753623188405797,0.22309722669172055,0.34375,0.3333333333333333,0.34782608695652173,0.2222222222222222,3.0,8.0,15.0,6.0
0,0,42,2,0.7538505792617798,0.719602569937706,0.35748792270531393,0.25430518981986133,0.4375,0.4444444444444444,0.43478260869565216,0.30769230769230765,4.0,10.0,13.0,5.0
0,0,42,3,0.7661277204751968,0.6995652616024017,0.4492753623188406,0.2930132007909786,0.46875,0.4444444444444444,0.4782608695652174,0.32,4.0,11.0,12.0,5.0
0,0,42,4,0.7367220968008041,0.6790066361427307,0.5217391304347826,0.35252716167038417,0.59375,0.4444444444444444,0.6521739130434783,0.380952380952381,4.0,15.0,8.0,5.0
0,0,42,5,0.7061621844768524,0.6629398018121719,0.6038647342995169,0.4064163024307952,0.625,0.4444444444444444,0.6956521739130435,0.39999999999999997,4.0,16.0,7.0,5.0
0,0,42,6,0.6949709802865982,0.6485935598611832,0.6859903381642513,0.5071054031344784,0.6875,0.4444444444444444,0.782608695652174,0.4444444444444444,4.0,18.0,5.0,5.0
0,0,42,7,0.7046983689069748,0.6342218071222305,0.78743961352657,0.6296296296296297,0.71875,0.5555555555555556,0.782608695652174,0.5263157894736842,5.0,18.0,5.0,4.0
0,0,42,8,0.6677237749099731,0.6187711954116821,0.8743961352657005,0.7213983547316881,0.71875,0.5555555555555556,0.782608695652174,0.5263157894736842,5.0,18.0,5.0,4.0
0,0,42,9,0.6180891394615173,0.6029878109693527,0.8985507246376812,0.7745430495430495,0.8125,0.7777777777777778,0.8260869565217391,0.7000000000000001,7.0,19.0,4.0,2.0
0,0,42,10,0.6047883033752441,0.5875692665576935,0.927536231884058,0.8204295704295704,0.875,0.8888888888888888,0.8695652173913043,0.7999999999999999,8.0,20.0,3.0,1.0
0,0,42,11,0.6476472318172455,0.5731428116559982,0.9516908212560387,0.8790123456790123,0.875,0.8888888888888888,0.8695652173913043,0.7999999999999999,8.0,20.0,3.0,1.0
0,0,42,12,0.6067535430192947,0.5614075064659119,0.9613526570048309,0.9017195767195768,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,13,0.5784970372915268,0.5524550080299377,0.9758454106280193,0.9459876543209875,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,14,0.5786410421133041,0.5449097454547882,0.9855072463768116,0.967452300785634,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,15,0.5946128070354462,0.5353153496980667,0.9903381642512078,0.9797979797979798,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,16,0.5227611064910889,0.523297980427742,0.9951690821256038,0.9888888888888889,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,17,0.5306589528918266,0.5100109279155731,0.9951690821256038,0.9888888888888889,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,0,42,18,0.4384843707084656,0.4967796429991722,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,0,42,19,0.5029251277446747,0.48435216397047043,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,0,42,20,0.47616784274578094,0.47048890590667725,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,1,10042,1,0.6471767425537109,0.6934647113084793,0.714975845410628,0.554573268921095,0.46875,0.6666666666666666,0.391304347826087,0.41379310344827586,6.0,9.0,14.0,3.0
0,1,10042,2,0.6649802923202515,0.6766506731510162,0.7681159420289855,0.6382603815937149,0.59375,0.8888888888888888,0.4782608695652174,0.5517241379310346,8.0,11.0,12.0,1.0
0,1,10042,3,0.6485219150781631,0.65824756026268,0.8067632850241545,0.6582237550268241,0.65625,0.8888888888888888,0.5652173913043478,0.5925925925925926,8.0,13.0,10.0,1.0
0,1,10042,4,0.5995681583881378,0.6407704949378967,0.8502415458937198,0.7682465682465682,0.6875,0.8888888888888888,0.6086956521739131,0.6153846153846153,8.0,14.0,9.0,1.0
0,1,10042,5,0.6275971382856369,0.6268892139196396,0.8840579710144928,0.8105680868838763,0.71875,0.8888888888888888,0.6521739130434783,0.64,8.0,15.0,8.0,1.0
0,1,10042,6,0.5468796789646149,0.6146525889635086,0.9082125603864735,0.8332343038225392,0.75,0.8888888888888888,0.6956521739130435,0.6666666666666667,8.0,16.0,7.0,1.0
0,1,10042,7,0.6098584979772568,0.5982401967048645,0.9227053140096618,0.8507154882154881,0.78125,0.8888888888888888,0.7391304347826086,0.6956521739130435,8.0,17.0,6.0,1.0
0,1,10042,8,0.6256271153688431,0.5797615051269531,0.927536231884058,0.8599747474747474,0.78125,0.8888888888888888,0.7391304347826086,0.6956521739130435,8.0,17.0,6.0,1.0
0,1,10042,9,0.5758707076311111,0.5629280358552933,0.9516908212560387,0.8911206077872745,0.875,0.8888888888888888,0.8695652173913043,0.7999999999999999,8.0,20.0,3.0,1.0
0,1,10042,10,0.5452741980552673,0.5461626201868057,0.9565217391304348,0.8975308641975308,0.875,0.8888888888888888,0.8695652173913043,0.7999999999999999,8.0,20.0,3.0,1.0
0,1,10042,11,0.49858544021844864,0.5312800705432892,0.9565217391304348,0.8975308641975308,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,12,0.5228223353624344,0.517959326505661,0.9613526570048309,0.9094356261022927,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,13,0.5621282011270523,0.5056435316801071,0.9710144927536232,0.9361111111111111,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,14,0.5371370986104012,0.49439381808042526,0.9806763285024155,0.9575757575757576,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,15,0.4925948232412338,0.48280511796474457,0.9806763285024155,0.9575757575757576,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,16,0.5153115093708038,0.47132788598537445,0.9855072463768116,0.967452300785634,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,17,0.4788528382778168,0.4608634114265442,0.9903381642512078,0.9797979797979798,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,18,0.5201844349503517,0.4498482123017311,0.9903381642512078,0.9797979797979798,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,19,0.44551270455121994,0.43717198818922043,0.9903381642512078,0.9797979797979798,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,1,10042,20,0.43936924636363983,0.4248274266719818,0.9903381642512078,0.9797979797979798,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,2,20042,1,0.6826567202806473,0.7843370735645294,0.48309178743961356,0.3089676871141402,0.40625,1.0,0.17391304347826086,0.4864864864864865,9.0,4.0,19.0,0.0
0,2,20042,2,0.7123944163322449,0.7687688618898392,0.5652173913043479,0.40009388865224105,0.40625,1.0,0.17391304347826086,0.4864864864864865,9.0,4.0,19.0,0.0
0,2,20042,3,0.7061659246683121,0.7513813376426697,0.6280193236714975,0.4670920464398725,0.4375,1.0,0.21739130434782608,0.5,9.0,5.0,18.0,0.0
0,2,20042,4,0.6433484554290771,0.7312792092561722,0.6859903381642511,0.5351277767067241,0.5,1.0,0.30434782608695654,0.5294117647058824,9.0,7.0,16.0,0.0
0,2,20042,5,0.6594079732894897,0.716565266251564,0.7632850241545893,0.6129778173895821,0.5,1.0,0.30434782608695654,0.5294117647058824,9.0,7.0,16.0,0.0
0,2,20042,6,0.6305174231529236,0.7006395906209946,0.8067632850241546,0.6959876543209877,0.5,1.0,0.30434782608695654,0.5294117647058824,9.0,7.0,16.0,0.0
0,2,20042,7,0.6575124561786652,0.6844837069511414,0.8357487922705313,0.735273368606702,0.5,1.0,0.30434782608695654,0.5294117647058824,9.0,7.0,16.0,0.0
0,2,20042,8,0.5731266438961029,0.6709000170230865,0.8840579710144927,0.8376068376068375,0.5625,1.0,0.391304347826087,0.5625,9.0,9.0,14.0,0.0
0,2,20042,9,0.6294287741184235,0.6565264910459518,0.9082125603864734,0.8614478114478114,0.5625,1.0,0.391304347826087,0.5625,9.0,9.0,14.0,0.0
0,2,20042,10,0.604295164346695,0.6404027044773102,0.9130434782608696,0.8640793903951798,0.59375,1.0,0.43478260869565216,0.5806451612903226,9.0,10.0,13.0,0.0
