fold,ensemble_id,seed,epoch,train_loss,train_eval_loss,train_auroc,train_auprc,train_accuracy,train_sensitivity,train_specificity,train_f1,train_tp,train_tn,train_fp,train_fn
0,0,42,1,0.8566140830516815,0.7357712090015411,0.2753623188405797,0.22309722669172055,0.34375,0.3333333333333333,0.34782608695652173,0.2222222222222222,3.0,8.0,15.0,6.0
0,0,42,2,0.7538505792617798,0.719602569937706,0.35748792270531393,0.25430518981986133,0.4375,0.4444444444444444,0.43478260869565216,0.30769230769230765,4.0,10.0,13.0,5.0
0,0,42,3,0.7661277204751968,0.6995652616024017,0.4492753623188406,0.2930132007909786,0.46875,0.4444444444444444,0.4782608695652174,0.32,4.0,11.0,12.0,5.0
0,0,42,4,0.7367220968008041,0.6790066361427307,0.5217391304347826,0.35252716167038417,0.59375,0.4444444444444444,0.6521739130434783,0.380952380952381,4.0,15.0,8.0,5.0
0,0,42,5,0.7061621844768524,0.6629398018121719,0.6038647342995169,0.4064163024307952,0.625,0.4444444444444444,0.6956521739130435,0.39999999999999997,4.0,16.0,7.0,5.0
0,0,42,6,0.6949709802865982,0.6485935598611832,0.6859903381642513,0.5071054031344784,0.6875,0.4444444444444444,0.782608695652174,0.4444444444444444,4.0,18.0,5.0,5.0
0,0,42,7,0.7046983689069748,0.6342218071222305,0.78743961352657,0.6296296296296297,0.71875,0.5555555555555556,0.782608695652174,0.5263157894736842,5.0,18.0,5.0,4.0
0,0,42,8,0.6677237749099731,0.6187711954116821,0.8743961352657005,0.7213983547316881,0.71875,0.5555555555555556,0.782608695652174,0.5263157894736842,5.0,18.0,5.0,4.0
0,0,42,9,0.6180891394615173,0.6029878109693527,0.8985507246376812,0.7745430495430495,0.8125,0.7777777777777778,0.8260869565217391,0.7000000000000001,7.0,19.0,4.0,2.0
0,0,42,10,0.6047883033752441,0.5875692665576935,0.927536231884058,0.8204295704295704,0.875,0.8888888888888888,0.8695652173913043,0.7999999999999999,8.0,20.0,3.0,1.0
0,0,42,11,0.6476472318172455,0.5731428116559982,0.9516908212560387,0.8790123456790123,0.875,0.8888888888888888,0.8695652173913043,0.7999999999999999,8.0,20.0,3.0,1.0
0,0,42,12,0.6067535430192947,0.5614075064659119,0.9613526570048309,0.9017195767195768,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,13,0.5784970372915268,0.5524550080299377,0.9758454106280193,0.9459876543209875,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,14,0.5786410421133041,0.5449097454547882,0.9855072463768116,0.967452300785634,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,15,0.5946128070354462,0.5353153496980667,0.9903381642512078,0.9797979797979798,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,16,0.5227611064910889,0.523297980427742,0.9951690821256038,0.9888888888888889,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,17,0.5306589528918266,0.5100109279155731,0.9951690821256038,0.9888888888888889,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,0,42,18,0.4384843707084656,0.4967796429991722,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,0,42,19,0.5029251277446747,0.48435216397047043,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,0,42,20,0.47616784274578094,0.47048890590667725,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,0,42,21,0.5476086586713791,0.4604039564728737,1.0,1.0,0.875,1.0,0.8260869565217391,0.8181818181818181,9.0,19.0,4.0,0.0
0,0,42,22,0.5099913477897644,0.4496205449104309,1.0,1.0,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,23,0.46445781737565994,0.43969154357910156,1.0,1.0,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,24,0.4301658868789673,0.4294687807559967,1.0,1.0,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,25,0.4725659266114235,0.4193011000752449,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,26,0.387475810945034,0.4106036424636841,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,27,0.40601104497909546,0.4035990759730339,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,28,0.4236748665571213,0.3959490582346916,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,29,0.4139647111296654,0.3877457305788994,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,30,0.41032874584198,0.3800165355205536,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,31,0.3244631439447403,0.3722076341509819,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,32,0.3873453959822655,0.36396224796772003,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,33,0.35552236437797546,0.35533319413661957,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,34,0.34970108419656754,0.34973495453596115,1.0,1.0,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,35,0.4006914496421814,0.3415626436471939,1.0,1.0,0.90625,1.0,0.8695652173913043,0.8571428571428571,9.0,20.0,3.0,0.0
0,0,42,36,0.29546067118644714,0.33264098316431046,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,37,0.41545937955379486,0.32301606237888336,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,38,0.3698597848415375,0.3124765530228615,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,39,0.3502233251929283,0.30264531821012497,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,40,0.30340105295181274,0.29437169432640076,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,41,0.33455684781074524,0.28619473800063133,1.0,1.0,0.9375,1.0,0.9130434782608695,0.9,9.0,21.0,2.0,0.0
0,0,42,42,0.2942092791199684,0.2779651880264282,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,43,0.27286284789443016,0.2697101756930351,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,44,0.37966787070035934,0.2597540356218815,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,45,0.2310149036347866,0.25196369737386703,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,46,0.2469644658267498,0.2465512827038765,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,47,0.2907130941748619,0.24071413651108742,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,48,0.29950064420700073,0.2345651462674141,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,49,0.21137170493602753,0.22860202938318253,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,50,0.3118148744106293,0.2224980965256691,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,51,0.23084930330514908,0.21714743971824646,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,52,0.24871883168816566,0.2127203270792961,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,53,0.2493378072977066,0.20876890793442726,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,54,0.2205376774072647,0.20543138682842255,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
0,0,42,55,0.25378306955099106,0.2027575634419918,1.0,1.0,0.96875,1.0,0.9565217391304348,0.9473684210526316,9.0,22.0,1.0,0.0
